text,category
"The team won the final match",sports
"The player scored a goal",sports
"Athlete sets new record",sports
"Team prepares for World Cup",sports
"Cricket match ends in a draw",sports
"Football league results",sports

"New AI tool beats benchmarks",technology
"Quantum computing breakthrough",technology
"Tech company launches new chip",technology
"Startups raise funding for ML",technology
"New smartphone features revealed",technology
"AI used in medical diagnosis",technology

"The election results are out",politics
"Government passes new bill",politics
"Debate on climate policy begins",politics
"New tax laws announced",politics
"Opposition criticizes the budget",politics
"Parliament session extended",politics
